L,p,decoder,weight,n_runs,n_fails,p_log
12,0.1422727272727272,unified,2.1,60000,7039.0,0.11731666666666667
12,0.14227273,unified,2.1,10000,1193.0,0.1193
12,0.1431818181818182,unified,1.0,60000,6566.0,0.10943333333333333
12,0.1431818181818182,unified,1.8,113000,12614.0,0.1116283185840708
12,0.1431818181818182,unified,2.1,60000,7381.0,0.12301666666666666
12,0.14318182,unified,2.1,10000,1192.0,0.1192
12,0.144090909090909,unified,1.0,60000,6803.0,0.11338333333333334
12,0.144090909090909,unified,1.8,113000,12573.0,0.11126548672566372
12,0.144090909090909,unified,2.1,60000,7314.0,0.1219
12,0.14409091,unified,2.1,10000,1215.0,0.1215
12,0.145,unified,1.0,60000,6962.0,0.11603333333333334
12,0.145,unified,1.1,60000,6810.0,0.1135
12,0.145,unified,1.8,113000,12876.0,0.11394690265486726
12,0.145,unified,2.1,110000,13812.0,0.12556363636363638
12,0.145625,unified,1.1,60000,6950.0,0.11583333333333333
12,0.145625,unified,1.8,59500,6775.0,0.11386554621848739
12,0.145625,unified,2.1,40000,5068.0,0.1267
12,0.14625,unified,1.1,60000,7047.0,0.11745
12,0.14625,unified,1.8,59500,7031.0,0.11816806722689076
12,0.14625,unified,2.1,40000,5038.0,0.12595
12,0.1468749999999999,unified,1.1,60000,7075.0,0.11791666666666667
12,0.1468749999999999,unified,2.1,40000,5269.0,0.131725
12,0.146875,unified,1.8,59500,7086.0,0.11909243697478991
12,0.1475,unified,1.1,60000,7061.0,0.11768333333333333
12,0.1475,unified,1.8,59500,7123.0,0.11971428571428572
12,0.1475,unified,2.1,40000,5362.0,0.13405
12,0.148125,unified,1.1,60000,7346.0,0.12243333333333334
12,0.148125,unified,1.8,59500,7212.0,0.12121008403361344
12,0.148125,unified,2.1,40000,5351.0,0.133775
12,0.14875,unified,1.1,60000,7242.0,0.1207
12,0.14875,unified,1.8,59500,7217.0,0.12129411764705883
12,0.14875,unified,2.1,40000,5358.0,0.13395
12,0.1493749999999999,unified,1.1,60000,7446.0,0.1241
12,0.1493749999999999,unified,2.1,40000,5437.0,0.135925
12,0.149375,unified,1.8,59500,7365.0,0.12378151260504201
12,0.15,unified,1.1,60000,7515.0,0.12525
12,0.15,unified,1.8,59500,7344.0,0.12342857142857143
12,0.15,unified,2.1,40000,5373.0,0.134325
12,0.150625,unified,1.1,60000,7432.0,0.12386666666666667
12,0.150625,unified,1.8,59500,7546.0,0.1268235294117647
12,0.150625,unified,2.1,40000,5604.0,0.1401
12,0.15125,unified,1.1,60000,7691.0,0.12818333333333334
12,0.15125,unified,1.8,59500,7534.0,0.1266218487394958
12,0.15125,unified,2.1,40000,5557.0,0.138925
12,0.1518749999999999,unified,1.1,60000,7779.0,0.12965
12,0.1518749999999999,unified,2.1,40000,5528.0,0.1382
12,0.151875,unified,1.8,59500,7654.0,0.12863865546218486
12,0.1525,unified,1.1,60000,7786.0,0.12976666666666667
12,0.1525,unified,2.1,40000,5667.0,0.141675
12,0.153125,unified,1.1,60000,8026.0,0.13376666666666667
12,0.153125,unified,2.1,40000,5749.0,0.143725
12,0.15375,unified,1.1,60000,8198.0,0.13663333333333333
12,0.15375,unified,2.1,40000,5806.0,0.14515
12,0.1543749999999999,unified,1.1,60000,8165.0,0.13608333333333333
12,0.1543749999999999,unified,2.1,40000,5869.0,0.146725
12,0.155,unified,1.1,60000,8211.0,0.13685
12,0.155,unified,2.1,40000,5991.0,0.149775
12,0.155625,unified,1.1,60000,8264.0,0.13773333333333335
12,0.155625,unified,2.1,40000,6000.0,0.15
12,0.15625,unified,1.1,60000,8360.0,0.13933333333333334
12,0.15625,unified,2.1,40000,6013.0,0.150325
12,0.156875,unified,1.1,60000,8490.0,0.1415
12,0.156875,unified,2.1,40000,6115.0,0.152875
12,0.1575,unified,1.1,60000,8639.0,0.14398333333333332
12,0.1575,unified,2.1,40000,6091.0,0.152275
12,0.158125,unified,1.1,60000,8667.0,0.14445
12,0.158125,unified,2.1,40000,6257.0,0.156425
12,0.15875,unified,1.1,60000,8691.0,0.14485
12,0.15875,unified,2.1,40000,6230.0,0.15575
12,0.159375,unified,1.1,60000,8789.0,0.14648333333333333
12,0.159375,unified,2.1,40000,6304.0,0.1576
12,0.16,unified,1.1,60000,8902.0,0.14836666666666667
12,0.16,unified,2.1,40000,6434.0,0.16085
14,0.145,unified,1.1,240000,26898.0,0.112075
14,0.145625,unified,1.1,240000,27259.0,0.11357916666666666
14,0.14625,unified,1.1,240000,28003.0,0.11667916666666667
14,0.1468749999999999,unified,1.1,240000,28317.0,0.1179875
14,0.1475,unified,1.1,240000,28522.0,0.11884166666666666
14,0.148125,unified,1.1,240000,29047.0,0.12102916666666666
14,0.14875,unified,1.1,240000,29275.0,0.12197916666666667
14,0.1493749999999999,unified,1.1,240000,29715.0,0.1238125
14,0.15,unified,1.1,240000,29851.0,0.12437916666666667
14,0.150625,unified,1.1,240000,30455.0,0.12689583333333335
14,0.15125,unified,1.1,240000,30641.0,0.12767083333333334
14,0.1518749999999999,unified,1.1,240000,31397.0,0.13082083333333333
14,0.1525,unified,1.1,240000,31480.0,0.13116666666666665
14,0.153125,unified,1.1,240000,32117.0,0.13382083333333333
14,0.15375,unified,1.1,240000,32151.0,0.1339625
14,0.1543749999999999,unified,1.1,240000,32729.0,0.13637083333333333
14,0.155,unified,1.1,240000,33312.0,0.1388
14,0.155625,unified,1.1,240000,33592.0,0.13996666666666666
14,0.15625,unified,1.1,240000,33988.0,0.14161666666666667
14,0.156875,unified,1.1,240000,34339.0,0.14307916666666667
14,0.1575,unified,1.1,240000,34388.0,0.14328333333333335
14,0.158125,unified,1.1,240000,35130.0,0.146375
14,0.15875,unified,1.1,240000,35698.0,0.14874166666666666
14,0.159375,unified,1.1,240000,35788.0,0.14911666666666668
14,0.16,unified,1.1,240000,36500.0,0.15208333333333332
16,0.145,unified,1.1,225250,25062.0,0.11126304106548279
16,0.145625,unified,1.1,225250,25371.0,0.11263485016648168
16,0.14625,unified,1.1,225250,25469.0,0.11306992230854605
