L,p,decoder,weight,n_runs,n_fails,p_log
12,0.15375,unified,0.7,60000,7858.0,0.13096666666666668
12,0.15375,unified,0.9,60000,7670.0,0.12783333333333333
12,0.15375,unified,1.0,60000,7734.0,0.1289
12,0.15375,unified,1.1,60000,7969.0,0.13281666666666667
12,0.15375,unified,1.5,60000,7883.0,0.13138333333333332
12,0.15375,unified,2.0,60000,8259.0,0.13765
12,0.1543749999999999,unified,0.1,50000,6531.0,0.13062
12,0.1543749999999999,unified,0.3,40000,5278.0,0.13195
12,0.1543749999999999,unified,0.5,60000,7988.0,0.13313333333333333
12,0.1543749999999999,unified,0.7,60000,7754.0,0.12923333333333334
12,0.1543749999999999,unified,0.9,60000,7900.0,0.13166666666666665
12,0.1543749999999999,unified,1.0,60000,7849.0,0.13081666666666666
12,0.1543749999999999,unified,1.1,60000,8076.0,0.1346
12,0.1543749999999999,unified,1.5,60000,8026.0,0.13376666666666667
12,0.1543749999999999,unified,2.0,60000,8505.0,0.14175
12,0.155,unified,0.1,50000,6813.0,0.13626
12,0.155,unified,0.3,40000,5376.0,0.1344
12,0.155,unified,0.5,60000,7917.0,0.13195
12,0.155,unified,0.7,60000,7786.0,0.12976666666666667
12,0.155,unified,0.9,60000,8031.0,0.13385
12,0.155,unified,1.0,60000,7793.0,0.12988333333333332
12,0.155,unified,1.1,60000,8145.0,0.13575
12,0.155,unified,1.5,60000,8134.0,0.13556666666666667
12,0.155,unified,2.0,60000,8548.0,0.14246666666666666
12,0.155625,unified,0.1,50000,6878.0,0.13756
12,0.155625,unified,0.3,40000,5528.0,0.1382
12,0.155625,unified,0.5,60000,7972.0,0.13286666666666666
12,0.155625,unified,0.7,60000,8002.0,0.13336666666666666
12,0.155625,unified,0.9,60000,8007.0,0.13345
12,0.155625,unified,1.0,60000,8010.0,0.1335
12,0.155625,unified,1.1,60000,8213.0,0.13688333333333333
12,0.155625,unified,1.5,60000,8228.0,0.13713333333333333
12,0.155625,unified,2.0,60000,8731.0,0.14551666666666666
12,0.15625,unified,0.1,50000,6827.0,0.13654
12,0.15625,unified,0.3,40000,5394.0,0.13485
12,0.15625,unified,0.5,60000,8202.0,0.1367
12,0.15625,unified,0.7,60000,7992.0,0.1332
12,0.15625,unified,0.9,60000,8040.0,0.134
12,0.15625,unified,1.0,60000,7991.0,0.13318333333333332
12,0.15625,unified,1.1,60000,8444.0,0.14073333333333332
12,0.15625,unified,1.5,60000,8280.0,0.138
12,0.15625,unified,2.0,60000,8752.0,0.14586666666666667
12,0.156875,unified,0.1,50000,6913.0,0.13826
12,0.156875,unified,0.3,40000,5541.0,0.138525
12,0.156875,unified,0.5,60000,8342.0,0.13903333333333334
12,0.156875,unified,0.7,60000,8126.0,0.13543333333333332
12,0.156875,unified,0.9,60000,8064.0,0.1344
12,0.156875,unified,1.0,60000,8276.0,0.13793333333333332
12,0.156875,unified,1.1,60000,8366.0,0.13943333333333333
12,0.156875,unified,1.5,60000,8432.0,0.14053333333333334
12,0.156875,unified,2.0,60000,8824.0,0.14706666666666668
12,0.1575,unified,0.1,50000,7079.0,0.14158
12,0.1575,unified,0.3,40000,5478.0,0.13695
12,0.1575,unified,0.5,60000,8318.0,0.13863333333333333
12,0.1575,unified,0.7,60000,8275.0,0.13791666666666666
12,0.1575,unified,0.9,60000,8155.0,0.13591666666666666
12,0.1575,unified,1.0,60000,8434.0,0.14056666666666667
12,0.1575,unified,1.1,60000,8558.0,0.14263333333333333
12,0.1575,unified,1.5,60000,8670.0,0.1445
12,0.1575,unified,2.0,60000,8773.0,0.14621666666666666
12,0.158125,unified,0.1,50000,7003.0,0.14006
12,0.158125,unified,0.3,40000,5569.0,0.139225
12,0.158125,unified,0.5,60000,8495.0,0.14158333333333334
12,0.158125,unified,0.7,60000,8394.0,0.1399
12,0.158125,unified,0.9,60000,8400.0,0.14
12,0.158125,unified,1.0,60000,8390.0,0.13983333333333334
12,0.158125,unified,1.1,60000,8582.0,0.14303333333333335
12,0.158125,unified,1.5,60000,8644.0,0.14406666666666668
12,0.158125,unified,2.0,60000,9006.0,0.1501
12,0.15875,unified,0.1,50000,7190.0,0.1438
12,0.15875,unified,0.3,40000,5569.0,0.139225
12,0.15875,unified,0.5,60000,8483.0,0.14138333333333333
12,0.15875,unified,0.7,60000,8452.0,0.14086666666666667
12,0.15875,unified,0.9,60000,8524.0,0.14206666666666667
12,0.15875,unified,1.0,60000,8323.0,0.13871666666666665
12,0.15875,unified,1.1,60000,8644.0,0.14406666666666668
12,0.15875,unified,1.5,60000,8556.0,0.1426
12,0.15875,unified,2.0,60000,8995.0,0.14991666666666667
12,0.159375,unified,0.1,50000,7201.0,0.14402
12,0.159375,unified,0.3,40000,5846.0,0.14615
12,0.159375,unified,0.5,60000,8452.0,0.14086666666666667
12,0.159375,unified,0.7,60000,8475.0,0.14125
12,0.159375,unified,0.9,60000,8506.0,0.14176666666666668
12,0.159375,unified,1.0,60000,8597.0,0.14328333333333335
12,0.159375,unified,1.1,60000,8607.0,0.14345
12,0.159375,unified,1.5,60000,8615.0,0.14358333333333334
12,0.159375,unified,2.0,60000,9062.0,0.15103333333333332
12,0.16,unified,0.1,50000,7204.0,0.14408
12,0.16,unified,0.3,40000,5808.0,0.1452
12,0.16,unified,0.5,60000,8723.0,0.14538333333333334
12,0.16,unified,0.7,60000,8541.0,0.14235
12,0.16,unified,0.9,60000,8524.0,0.14206666666666667
12,0.16,unified,1.0,60000,8675.0,0.14458333333333334
12,0.16,unified,1.1,60000,8614.0,0.14356666666666668
12,0.16,unified,1.5,60000,8742.0,0.1457
12,0.16,unified,2.0,60000,9211.0,0.15351666666666666
20,0.145,unified,0.1,50000,5278.0,0.10556
20,0.145,unified,0.3,48000,4908.0,0.10225
20,0.145,unified,0.5,45000,4637.0,0.10304444444444444
20,0.145,unified,0.7,60000,6174.0,0.1029
