L,p,decoder,p_log
14,0.0048641372939179,restricted,1.3518368262987054e-10
14,0.0063209807597848,restricted,8.484426258802457e-10
14,0.0082141591306497,restricted,5.376668060783166e-09
14,0.0106743577915799,restricted,3.538520284532346e-08
14,0.0138714033232579,restricted,2.4018170390822373e-07
14,0.018025986566449,restricted,1.6353746558541384e-06
14,0.0230858943154163,restricted,1.0335643499357533e-05
14,0.0288091952866079,restricted,5.463891861091712e-05
14,0.0352003268999531,restricted,0.00024198001984985
14,0.0422629206287051,restricted,0.000907395537279625
14,0.05,restricted,0.00296
16,1.7716684732962433e-05,restricted,1.2834916735114324e-31
16,2.263667484446613e-05,restricted,9.121025452457584e-31
16,2.892296474976012e-05,restricted,6.477497428247971e-30
16,3.695498105015942e-05,restricted,4.596225710930201e-29
16,4.721751854394418e-05,restricted,3.258296158061467e-28
16,6.033000137171208e-05,restricted,2.3093138062569226e-27
16,7.708387009205905e-05,restricted,1.6389915010103492e-26
16,9.849035128906068e-05,restricted,1.162104731210264e-25
16,0.0001258414929797,restricted,8.218434033809538e-25
16,0.0001607881497843,restricted,5.7894273958895225e-24
16,0.0002054396248717,restricted,4.074203868718876e-23
16,0.0002624909828495,restricted,2.8809851143089595e-22
16,0.0003353857179224,restricted,2.047754138068388e-21
16,0.0004285235956116,restricted,1.4535250805569724e-20
16,0.0005475262129034,restricted,1.0250935791058637e-19
16,0.0006995763054504,restricted,7.147138645713822e-19
16,0.0008938512816628,restricted,4.991300145440723e-18
16,0.0011420771508489,restricted,3.553713542528373e-17
16,0.0014592362792888,restricted,2.5161868074274333e-16
16,0.0018644716928361,restricted,1.837198431682607e-15
16,0.0023822425077598,restricted,1.4158422094711363e-14
16,0.0030438002290854,restricted,1.200946521990585e-13
16,0.0038890750225478,restricted,9.716806348841333e-13
16,0.004969085811374,restricted,7.342815752476457e-12
16,0.0063490196660239,restricted,5.574056630891e-11
16,0.0081121663520662,restricted,4.266552050247384e-10
16,0.0103649455168262,restricted,3.3339853272825327e-09
16,0.0132433299447085,restricted,2.7706948269678728e-08
16,0.0169210525747286,restricted,2.2674431866623294e-07
16,0.0211709465326855,restricted,1.4192000627576501e-06
16,0.0259228556494624,restricted,7.851413170165473e-06
16,0.031179570145761,restricted,3.707623179040525e-05
16,0.0369434090478057,restricted,0.00015214275852765
16,0.0432163285773382,restricted,0.0005418141476702
16,0.05,restricted,0.001705
