L,p,decoder,p_log
8,7.913714253831095e-07,unified,6.004548216439062e-22
8,1.1191682026513212e-06,unified,2.402095836179392e-21
8,1.582742850766219e-06,unified,9.609346063177097e-21
8,2.2383364053026424e-06,unified,3.8434965191431065e-20
8,3.165485701532438e-06,unified,1.5372617751690518e-19
8,4.476672810605285e-06,unified,6.148273141484821e-19
8,6.330971403064876e-06,unified,2.4591651110849515e-18
8,8.95334562121057e-06,unified,9.835721344225072e-18
8,1.2661942806129751e-05,unified,3.933964965939103e-17
8,1.790669124242114e-05,unified,1.5738791011305492e-16
8,2.5323885612259503e-05,unified,6.294168036459955e-16
8,3.581338248484228e-05,unified,2.5158600087294084e-15
8,5.0647771224519006e-05,unified,1.0059900743241023e-14
8,7.162676496968456e-05,unified,4.0228417131609045e-14
8,0.000101295542449,unified,1.6081730240224273e-13
8,0.0001432535299393,unified,6.426816488292819e-13
8,0.000202591084898,unified,2.5659491800270148e-12
8,0.0002865070598787,unified,1.0249661886051569e-11
8,0.0004051821697961,unified,4.094460629785851e-11
8,0.0005730141197574,unified,1.6311964798055594e-10
8,0.0008103643395923,unified,6.492969425235215e-10
8,0.0011460282395149,unified,2.5894321878560536e-09
8,0.0016207286791846,unified,1.043960747053479e-08
8,0.0022920564790299,unified,4.271187603914566e-08
8,0.0032414573583692,unified,1.722856404297378e-07
8,0.0045841129580598,unified,6.922995193457311e-07
8,0.0064829147167384,unified,3.006907199981034e-06
8,0.0091682259161196,unified,1.3325271024778075e-05
8,0.0129658294334768,unified,5.8787351098581935e-05
8,0.0183364518322392,unified,0.00026560579784295
8,0.0259316588669537,unified,0.0011633328410146
8,0.0366729036644784,unified,0.0048697005126106
8,0.05,unified,0.0172
10,1.4696229124299043e-06,unified,1.0172857724048428e-25
10,2.0036904166023085e-06,unified,4.792141411742057e-25
10,2.7318404276548887e-06,unified,2.2573706694069317e-24
10,3.7246033919874193e-06,unified,1.0633050049955175e-23
10,5.078140833984581e-06,unified,5.0082722104817623e-23
10,6.923559803778624e-06,unified,2.358970653038126e-22
10,9.43961223676544e-06,unified,1.1109914948896104e-21
10,1.28700093168634e-05,unified,5.23115256849938e-21
10,1.7547027956405508e-05,unified,2.4627231968778183e-20
10,2.392369597584064e-05,unified,1.1610234432595625e-19
10,3.2617673520917874e-05,unified,5.471710691134962e-19
10,4.4471081182087415e-05,unified,2.5745052634914083e-18
10,6.0632069918644427e-05,unified,1.2119050649630997e-17
10,8.266603385618042e-05,unified,5.706403686674414e-17
10,0.0001127072383093,unified,2.6867845545761776e-16
10,0.0001536655501027,unified,1.2659169929409701e-15
10,0.0002095082946099,unified,5.963828753877103e-15
10,0.0002856445408941,unified,2.7959882077293422e-14
10,0.0003894490377794,unified,1.3101900578127085e-13
10,0.0005309765506196,unified,6.152963217113519e-13
10,0.0007239357912283,unified,2.8803854475482058e-12
10,0.0009870172782766,unified,1.3396249520396885e-11
10,0.0013457037480681,unified,6.26508070286842e-11
10,0.0018347384766421,unified,2.9752275888948667e-10
10,0.00250149060111,unified,1.394674028901725e-09
10,0.0034105434137371,unified,6.443708368987898e-09
