L,p,decoder,n_runs,n_fails,p_log
28,0.0941379310344827,restricted,46000,4483,0.09745652173913044
28,0.0948275862068965,restricted,46000,4798,0.10430434782608695
28,0.0955172413793103,restricted,46000,5068,0.11017391304347826
28,0.0962068965517241,restricted,46000,5198,0.113
28,0.0968965517241379,restricted,46000,5538,0.12039130434782609
28,0.0975862068965517,restricted,46000,5795,0.1259782608695652
28,0.0982758620689655,restricted,46000,5990,0.1302173913043478
28,0.0989655172413793,restricted,46000,6557,0.14254347826086958
28,0.0996551724137931,restricted,46000,6660,0.14478260869565218
28,0.1003448275862069,restricted,46000,6899,0.14997826086956523
28,0.1010344827586206,restricted,46000,7258,0.15778260869565217
28,0.1017241379310344,restricted,46000,7564,0.16443478260869565
28,0.1024137931034482,restricted,46000,7850,0.17065217391304346
28,0.103103448275862,restricted,46000,8207,0.17841304347826087
28,0.1037931034482758,restricted,46000,8544,0.1857391304347826
28,0.1044827586206896,restricted,46000,8829,0.19193478260869565
28,0.1051724137931034,restricted,46000,9139,0.19867391304347826
28,0.1058620689655172,restricted,46000,9598,0.20865217391304347
28,0.106551724137931,restricted,46000,9717,0.2112391304347826
28,0.1072413793103448,restricted,46000,10231,0.22241304347826088
28,0.1079310344827586,restricted,46000,10611,0.23067391304347826
28,0.1086206896551724,restricted,46000,10767,0.23406521739130434
28,0.1093103448275862,restricted,46000,11140,0.24217391304347827
28,0.11,restricted,46000,11273,0.24506521739130435
30,0.096,restricted,45000,5031,0.1118
30,0.0966315789473684,restricted,45000,5331,0.11846666666666666
30,0.0972631578947368,restricted,45000,5465,0.12144444444444444
30,0.0978947368421052,restricted,45000,5790,0.12866666666666668
30,0.0985263157894736,restricted,45000,6082,0.13515555555555556
30,0.0991578947368421,restricted,45000,6378,0.14173333333333332
30,0.0997894736842105,restricted,45000,6557,0.14571111111111112
30,0.1004210526315789,restricted,45000,6933,0.15406666666666666
30,0.1010526315789473,restricted,45000,7134,0.15853333333333333
30,0.1016842105263158,restricted,45000,7350,0.16333333333333333
30,0.1023157894736842,restricted,45000,7818,0.17373333333333332
30,0.1029473684210526,restricted,45000,7887,0.17526666666666665
30,0.103578947368421,restricted,45000,8099,0.17997777777777776
30,0.1042105263157894,restricted,45000,8804,0.19564444444444445
30,0.1048421052631578,restricted,45000,8996,0.19991111111111112
30,0.1054736842105263,restricted,45000,9256,0.2056888888888889
30,0.1061052631578947,restricted,45000,9561,0.21246666666666666
30,0.1067368421052631,restricted,45000,9953,0.22117777777777778
30,0.1073684210526315,restricted,45000,10043,0.22317777777777778
30,0.108,restricted,45000,10421,0.23157777777777777
40,0.096,restricted,45000,4579,0.10175555555555556
40,0.0966315789473684,restricted,45000,5035,0.11188888888888888
40,0.0972631578947368,restricted,45000,5165,0.11477777777777778
40,0.0978947368421052,restricted,45000,5411,0.12024444444444445
40,0.0985263157894736,restricted,45000,5831,0.12957777777777776
40,0.0991578947368421,restricted,45000,6121,0.1360222222222222
40,0.0997894736842105,restricted,45000,6468,0.14373333333333332
40,0.1004210526315789,restricted,45000,6972,0.15493333333333334
40,0.1010526315789473,restricted,45000,7102,0.15782222222222222
40,0.1016842105263158,restricted,45000,7519,0.1670888888888889
40,0.1023157894736842,restricted,45000,7934,0.1763111111111111
40,0.1029473684210526,restricted,45000,8231,0.1829111111111111
40,0.103578947368421,restricted,45000,8468,0.18817777777777778
40,0.1042105263157894,restricted,45000,9037,0.20082222222222224
40,0.1048421052631578,restricted,45000,9329,0.2073111111111111
40,0.1054736842105263,restricted,45000,9705,0.21566666666666667
40,0.1061052631578947,restricted,45000,10108,0.22462222222222222
40,0.1067368421052631,restricted,45000,10468,0.23262222222222223
40,0.1073684210526315,restricted,45000,10698,0.23773333333333332
40,0.108,restricted,45000,11232,0.2496
