L,p,decoder,weight,n_runs,n_fails,p_log
10,0.103578947368421,unified,2.1,79000,13396,0.16956962025316455
10,0.103578947368421,unified,2.5,60000,10354,0.17256666666666667
10,0.1042105263157894,unified,1.1,60000,10786,0.17976666666666666
10,0.1042105263157894,unified,2.1,79000,13817,0.1748987341772152
10,0.1042105263157894,unified,2.5,60000,10512,0.1752
10,0.1048421052631578,unified,1.1,60000,10884,0.1814
10,0.1048421052631578,unified,2.1,79000,14146,0.1790632911392405
10,0.1048421052631578,unified,2.5,60000,10599,0.17665
10,0.1054736842105263,unified,1.1,60000,11007,0.18345
10,0.1054736842105263,unified,2.1,79000,14515,0.18373417721518986
10,0.1054736842105263,unified,2.5,60000,10912,0.18186666666666668
10,0.1061052631578947,unified,1.1,60000,11220,0.187
10,0.1061052631578947,unified,2.1,79000,14578,0.18453164556962026
10,0.1061052631578947,unified,2.5,60000,10909,0.18181666666666665
10,0.1067368421052631,unified,1.1,60000,11458,0.19096666666666667
10,0.1067368421052631,unified,2.1,79000,14992,0.18977215189873417
10,0.1067368421052631,unified,2.5,60000,11119,0.18531666666666666
10,0.1073684210526315,unified,1.1,60000,11652,0.1942
10,0.1073684210526315,unified,2.1,79000,15237,0.19287341772151897
10,0.1073684210526315,unified,2.5,60000,11354,0.18923333333333334
10,0.108,unified,1.1,60000,11799,0.19665
10,0.108,unified,2.1,79000,15413,0.1951012658227848
10,0.108,unified,2.5,60000,11623,0.19371666666666668
20,0.096,unified,1.1,60000,7690,0.12816666666666668
20,0.096,unified,2.1,89250,10938,0.1225546218487395
20,0.096,unified,2.5,59500,7341,0.1233781512605042
20,0.0966315789473684,unified,1.1,60000,8175,0.13625
20,0.0966315789473684,unified,2.1,89250,11165,0.12509803921568627
20,0.0966315789473684,unified,2.5,59500,7477,0.1256638655462185
20,0.0972631578947368,unified,1.1,60000,8425,0.14041666666666666
20,0.0972631578947368,unified,2.1,89250,11806,0.13228011204481793
20,0.0972631578947368,unified,2.5,59500,7717,0.12969747899159664
20,0.0978947368421052,unified,1.1,60000,8528,0.14213333333333333
20,0.0978947368421052,unified,2.1,89250,12003,0.1344873949579832
20,0.0978947368421052,unified,2.5,59500,8325,0.13991596638655462
20,0.0985263157894736,unified,1.1,60000,8946,0.1491
20,0.0985263157894736,unified,2.1,89250,12299,0.13780392156862745
20,0.0985263157894736,unified,2.5,59500,8392,0.14104201680672268
20,0.0991578947368421,unified,1.1,60000,9218,0.15363333333333334
20,0.0991578947368421,unified,2.1,89250,12900,0.14453781512605043
20,0.0991578947368421,unified,2.5,59500,8677,0.14583193277310924
20,0.0997894736842105,unified,1.1,60000,9482,0.15803333333333333
20,0.0997894736842105,unified,2.1,89250,13276,0.14875070028011206
20,0.0997894736842105,unified,2.5,59500,8824,0.14830252100840335
20,0.1004210526315789,unified,1.1,60000,9622,0.16036666666666666
20,0.1004210526315789,unified,2.1,89250,13701,0.1535126050420168
20,0.1004210526315789,unified,2.5,59500,9226,0.15505882352941178
20,0.1010526315789473,unified,1.1,60000,10026,0.1671
20,0.1010526315789473,unified,2.1,89250,14225,0.15938375350140055
20,0.1010526315789473,unified,2.5,59500,9446,0.1587563025210084
20,0.1016842105263158,unified,1.1,60000,10365,0.17275
20,0.1016842105263158,unified,2.1,89250,14651,0.16415686274509803
20,0.1016842105263158,unified,2.5,59500,9857,0.16566386554621848
20,0.1023157894736842,unified,1.1,60000,10792,0.17986666666666667
20,0.1023157894736842,unified,2.1,89250,14808,0.16591596638655462
20,0.1023157894736842,unified,2.5,59500,10088,0.16954621848739496
20,0.1029473684210526,unified,1.1,60000,10756,0.17926666666666666
20,0.1029473684210526,unified,2.1,89250,15470,0.17333333333333334
20,0.1029473684210526,unified,2.5,59500,10429,0.17527731092436974
20,0.103578947368421,unified,1.1,60000,11530,0.19216666666666668
20,0.103578947368421,unified,2.1,89250,16145,0.18089635854341737
20,0.103578947368421,unified,2.5,59500,10664,0.17922689075630252
20,0.1042105263157894,unified,1.1,60000,11754,0.1959
