L,p,decoder,p_log
14,5.504593701784319e-05,restricted,2.0821997624864358e-15
14,7.153258384157424e-05,restricted,5.93633818718931e-15
14,9.295709780347997e-05,restricted,1.6909671804929847e-14
14,0.0001207984049783,restricted,4.8178997972914246e-14
14,0.0001569783802434,restricted,1.3733800210514652e-13
14,0.0002039945135722,restricted,3.9110803665984806e-13
14,0.0002650923108202,restricted,1.1133903057658897e-12
14,0.0003444893297639,restricted,3.1728734914695578e-12
14,0.0004476663165145,restricted,9.038026423376386e-12
14,0.0005817455393436,restricted,2.577310332697097e-11
14,0.0007559824361618,restricted,7.360079382299532e-11
14,0.0009824045138876,restricted,2.1022897292773089e-10
14,0.0012766416026896,restricted,5.993268521315275e-10
14,0.001659004777236,restricted,1.7051526184577047e-09
14,0.0021558884224778,restricted,4.8356524502766145e-09
14,0.0028015922280328,restricted,1.3690809028747724e-08
14,0.0036406888827544,restricted,4.029747266144281e-08
14,0.0047311009105413,restricted,1.1877889171901359e-07
14,0.0061480990401988,restricted,3.3567202580588226e-07
14,0.0079894981153062,restricted,9.574430968520334e-07
14,0.0103824092157789,restricted,2.773488812846962e-06
14,0.0134920140875157,restricted,8.126659551197227e-06
14,0.0175329675756827,restricted,2.427025757191613e-05
14,0.0227842151672808,restricted,7.645939011072668e-05
14,0.0296082484923396,restricted,0.00024586656639594996
14,0.038476127983686,restricted,0.0007730277322333
14,0.05,restricted,0.0025
16,4.097273085231314e-05,restricted,1.4052580217696393e-16
16,5.235101260610127e-05,restricted,3.7469034996178503e-16
16,6.688908607929535e-05,restricted,9.98149422985873e-16
16,8.546443733930642e-05,restricted,2.6587959842608437e-15
16,0.000109198233641,restricted,7.446311934103068e-15
16,0.000139522994611,restricted,2.0922393144548476e-14
16,0.0001782690559741,restricted,5.5679975817170366e-14
16,0.0002277750445831,restricted,1.4813061944534108e-13
16,0.0002910290327806,restricted,3.942214488669578e-13
16,0.0003718488918582,restricted,1.049686730316093e-12
16,0.0004751127303523,restricted,2.7928883595735284e-12
16,0.0006070533259218,restricted,7.410150576078208e-12
16,0.000775634322068,restricted,1.9713485685924053e-11
16,0.0009910308961018,restricted,5.24566297841563e-11
