L,p,decoder,p_log
18,7.750981699060565e-05,unified,2.8921863994996213e-19
18,9.765624999996336e-05,unified,9.19108777226976e-19
18,0.0001230391650287,unified,2.920087820432348e-18
18,0.0001550196339812,unified,9.283367230574897e-18
18,0.0001953124999999,unified,2.951941753873647e-17
18,0.0002460783300575,unified,9.391544687409237e-17
18,0.0003100392679625,unified,2.983452572266438e-16
18,0.000390625,unified,9.479715318689963e-16
18,0.0004921566601151,unified,3.018831187024017e-15
18,0.000620078535925,unified,9.640983893276378e-15
18,0.00078125,unified,3.082791544137693e-14
18,0.0009843133202303,unified,9.889558589301889e-14
18,0.0012401570718501,unified,3.218981929803281e-13
18,0.0015625,unified,1.0681565680698029e-12
18,0.0019686266404607,unified,3.5396509634504894e-12
18,0.0024803141437003,unified,1.1706936653713332e-11
18,0.003125,unified,3.9491414649206984e-11
18,0.0039372532809214,unified,1.3441089413927094e-10
18,0.0049606282874006,unified,4.5879650735942827e-10
18,0.00625,unified,1.6177816745446035e-09
18,0.0078745065618429,unified,5.8603585106013165e-09
18,0.0099212565748012,unified,2.156452308563789e-08
18,0.0125,unified,7.980178940688463e-08
18,0.0157490131236859,unified,3.0705396799586286e-07
18,0.0198425131496025,unified,1.2258574599019272e-06
18,0.025,unified,4.986383456427673e-06
18,0.0314980262473718,unified,2.135541766944125e-05
18,0.0396850262992049,unified,9.654265444265024e-05
18,0.05,unified,0.00046
20,8.676463744597958e-05,unified,2.742496240735008e-20
20,0.0001080281153315,unified,8.200520495066691e-20
20,0.0001345026504529,unified,2.4577355164374984e-19
20,0.0001674653207025,unified,7.382969816581667e-19
20,0.0002085061784548,unified,2.2330774506555866e-18
20,0.0002596049514696,unified,6.983007447716254e-18
20,0.0003232265409448,unified,2.1674851789264657e-17
20,0.0004024399233516,unified,6.966295966965375e-17
20,0.0005010661916371,unified,2.153873331675285e-16
20,0.0006238628769998,unified,6.600787111963552e-16
20,0.0007767534425478,unified,2.0017986869651272e-15
20,0.0009671130191483,unified,6.115164119159577e-15
20,0.0012041241667863,unified,1.9238680103179463e-14
20,0.0014992198226383,unified,6.178139244589172e-14
20,0.00186663480278,unified,2.029289528469978e-13
20,0.0023240924608492,unified,7.040623895578147e-13
20,0.0028936596266884,unified,2.414950349614723e-12
20,0.0036028110654717,unified,8.240967506007491e-12
20,0.0044857548046658,unified,2.915308875814942e-11
20,0.0055850822599125,unified,1.0344427645071375e-10
20,0.0069538227585566,unified,3.834333386616057e-10
20,0.0086580015668698,unified,1.5099256953896481e-09
20,0.0107798248150172,unified,6.1441351959071835e-09
20,0.0134216449540876,unified,2.5055193126620024e-08
20,0.016710898030795,unified,1.0399505980006231e-07
20,0.0208062509439709,unified,4.5085474318303317e-07
20,0.0259052552140368,unified,2.036253162316501e-06
20,0.0322538764677758,unified,9.506394038941311e-06
20,0.0401583593214263,unified,4.711477714564991e-05
20,0.05,unified,0.000252
22,4.101997646003047e-05,unified,1.2963218965180106e-24
22,5.055444716569362e-05,unified,4.54472791713017e-24
22,6.230506082126136e-05,unified,1.5936369867844548e-23
22,7.67869262068671e-05,unified,5.581463171616579e-23
22,9.46348813174866e-05,unified,1.9528940075578564e-22
22,0.000116631322601,unified,6.841888696160416e-22
22,0.0001437405026803,unified,2.3997899090230776e-21
22,0.0001771508000597,unified,8.423771747245731e-21
22,0.0002183268137831,unified,2.962815647114757e-20
22,0.000269073566705,unified,1.0418480925097206e-19
22,0.0003316156318356,unified,3.677722178544588e-19
22,0.0004086946504049,unified,1.3026828876186222e-18
22,0.0005036895165196,unified,4.5927275777008716e-18
